,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
85,the remedy for a broken heart (why am I so in love),85570923,0.779,0.699,160184.0,0.304,0.000993,1.0,0.137,-11.192,1.0,0.0993,119.705,4.0,0.271
86,The Way Life Goes (feat. Oh Wonder),85453580,0.617,0.703,221747.0,0.757,0.0,1.0,0.106,-3.612,1.0,0.05,82.008,4.0,0.696
87,Believer,85334901,0.0622,0.776,204347.0,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,4.0,0.666
88,I Like Me Better,85294031,0.535,0.752,197437.0,0.505,2.55e-06,9.0,0.104,-7.621,1.0,0.253,91.97,4.0,0.419
89,Lust,84646882,0.138,0.718,156000.0,0.767,0.0,9.0,0.114,-5.641,1.0,0.166,160.084,4.0,0.519
90,One Kiss (with Dua Lipa),84513995,0.037,0.791,214847.0,0.862,2.19e-05,9.0,0.0814,-3.24,0.0,0.11,123.994,4.0,0.592
91,"thank u, next",84393842,0.28,0.724,207333.0,0.647,0.0,1.0,0.102,-5.642,1.0,0.0658,106.96,4.0,0.435
92,Jackie Chan,83953376,0.374,0.747,215760.0,0.834,0.0,3.0,0.0586,-2.867,0.0,0.045,128.005,4.0,0.687
93,ZEZE (feat. Travis Scott & Offset),83943265,0.0515,0.861,228654.0,0.637,3.35e-06,8.0,0.0967,-5.692,0.0,0.24,98.044,4.0,0.474
94,Tequila,83781311,0.358,0.776,196000.0,0.65,0.0,1.0,0.111,-7.12,0.0,0.0945,108.038,4.0,0.356
95,STARGAZING,83474815,0.00947,0.487,270715.0,0.789,4.05e-06,8.0,0.189,-3.69,1.0,0.044,150.007,4.0,0.0564
96,I Love It (& Lil Pump),83431716,0.0114,0.901,127947.0,0.522,0.0,2.0,0.259,-8.304,1.0,0.33,104.053,4.0,0.329
97,Drip Too Hard (Lil Baby & Gunna),82787258,0.103,0.896,145543.0,0.671,0.0,1.0,0.552,-6.977,0.0,0.289,112.502,4.0,0.358
98,Perfect,82667027,0.163,0.599,263400.0,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,3.0,0.168
99,KOD,78751580,0.21,0.831,191437.0,0.782,0.0,0.0,0.113,-6.274,1.0,0.15,141.869,4.0,0.199
