,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
78,Hunter,11697906,0.0217,0.472,180573.0,0.918,0.0,5.0,0.105,-2.467,0.0,0.0707,122.208,4.0,0.388
79,Chained To The Rhythm,11645708,0.0814,0.446,237733.0,0.8,0.0,0.0,0.199,-5.404,1.0,0.174,189.89,4.0,0.474
80,Hum With Me,11526182,0.109,0.653,167871.0,0.708,0.0011,10.0,0.163,-5.385,1.0,0.0345,111.924,4.0,0.347
81,Your Song,11491331,0.158,0.855,180757.0,0.624,0.0,1.0,0.0513,-4.093,1.0,0.0488,117.959,4.0,0.962
82,Hold On - D&B Version,11455600,0.033,0.433,198434.0,0.878,1.44e-06,7.0,0.159,-3.097,0.0,0.0505,160.151,4.0,0.386
83,Rocket (feat. NEIKED),11148057,0.0335,0.716,190172.0,0.736,0.0,0.0,0.0623,-6.279,1.0,0.0696,173.896,4.0,0.656
84,Nån Annan,10901370,0.207,0.762,223200.0,0.83,3.52e-05,7.0,0.101,-4.718,0.0,0.0811,100.04,4.0,0.722
85,Ja må du leva,10856210,0.534,0.371,48744.0,0.417,1.86e-06,2.0,0.272,-2.575,0.0,0.0593,102.99,3.0,0.863
86,Tired,10791449,0.0428,0.69,192112.0,0.876,0.0,2.0,0.147,-4.159,1.0,0.059,123.994,4.0,0.493
87,Too Good At Goodbyes - Edit,10768866,,,,,,,,,,,,,
88,Let Me Love You,10642677,0.288,0.531,190000.0,0.854,0.0,10.0,0.0773,-3.149,1.0,0.198,94.419,4.0,0.456
89,Pari,10603882,0.0906,0.707,182627.0,0.699,0.0,8.0,0.371,-7.315,0.0,0.272,148.967,4.0,0.81
90,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",10570159,,,,,,,,,,,,,
91,I Like Me Better,10530957,0.535,0.752,197437.0,0.505,2.55e-06,9.0,0.104,-7.621,1.0,0.253,91.97,4.0,0.419
92,Think Before I Talk,10400232,0.364,0.773,184909.0,0.595,0.0,5.0,0.154,-5.689,1.0,0.154,122.043,4.0,0.53
93,Closer,10309240,0.414,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,0.661
94,Bara Få Va Mig Själv,9946512,0.00799,0.732,215347.0,0.739,0.000993,8.0,0.0553,-4.668,1.0,0.0532,92.479,4.0,0.27
95,No Promises (feat. Demi Lovato),9812307,0.0575,0.741,223504.0,0.667,0.0,10.0,0.106,-5.445,1.0,0.134,112.956,4.0,0.595
96,Passionfruit,9782512,0.304,0.804,298941.0,0.459,0.0862,11.0,0.11,-11.556,1.0,0.039,111.963,4.0,0.372
97,I Can't Fall in Love Without You,9713254,0.784,0.485,180640.0,0.332,0.000122,4.0,0.146,-9.244,1.0,0.0338,130.813,4.0,0.273
98,Slide,9138112,0.498,0.736,230813.0,0.795,1.21e-06,1.0,0.254,-3.299,0.0,0.0545,104.066,4.0,0.511
99,Säg nåt som får mig att stanna,9063718,0.248,0.665,203120.0,0.774,0.0,8.0,0.0991,-5.436,1.0,0.0942,97.054,4.0,0.405
