,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
79,Mitä Mä Malagas?,2995289,0.291,0.785,217045.0,0.76,0.0,2.0,0.237,-7.252,0.0,0.105,123.051,4.0,0.845
80,Mine,2974899,0.889,0.393,246888.0,0.226,0.00505,4.0,0.0792,-14.949,1.0,0.0373,75.427,4.0,0.136
81,Amor Amor (feat. Cledos),2965539,0.122,0.761,208335.0,0.823,0.000119,11.0,0.218,-3.025,0.0,0.0529,136.029,4.0,0.863
82,Väärään suuntaan,2936020,0.0852,0.458,272630.0,0.612,1.86e-05,0.0,0.364,-8.35,1.0,0.0619,159.849,4.0,0.284
83,Surulapsi (Vain elämää kausi 7),2915932,0.11,0.652,188933.0,0.695,0.0,8.0,0.454,-6.967,0.0,0.0556,138.091,3.0,0.781
84,Tulla Ja Mennä,2915331,0.0108,0.638,229874.0,0.695,0.0,1.0,0.0915,-7.02,0.0,0.0702,123.109,4.0,0.663
85,Mulkut - Vain Elämää Kausi 9,2908721,0.314,0.608,179183.0,0.832,0.0,0.0,0.0784,-4.846,1.0,0.313,184.469,4.0,0.732
86,Pakettimatka (feat. Seksikäs-Suklaa & Slim Mill),2899560,0.323,0.8,203948.0,0.866,0.0,0.0,0.34,-4.093,1.0,0.0794,120.068,4.0,0.96
87,Me Ollaan Runo,2882896,0.00573,0.532,222960.0,0.801,0.00078,2.0,0.104,-5.189,1.0,0.0352,155.994,4.0,0.609
88,Eastside (with Halsey & Khalid),2812849,0.555,0.56,173800.0,0.68,0.0,6.0,0.116,-7.648,0.0,0.321,89.391,4.0,0.319
89,Believer,2798457,0.0622,0.776,204347.0,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,4.0,0.666
90,YsäriBoi,2785098,,,,,,,,,,,,,
91,Tää On Se Maa,2777009,,,,,,,,,,,,,
92,Ei suomalaiset tanssi,2749316,0.000452,0.712,198993.0,0.857,2.46e-06,1.0,0.617,-5.125,0.0,0.0369,110.003,4.0,0.894
93,Lucky You (feat. Joyner Lucas),2714874,0.0627,0.876,244679.0,0.786,0.0,10.0,0.127,-4.884,0.0,0.306,153.068,4.0,0.575
94,Tempo,2699445,0.237,0.686,224483.0,0.842,0.0,0.0,0.0683,-4.423,1.0,0.1,115.944,4.0,0.519
95,Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],2695432,0.0139,0.372,203160.0,0.398,0.0237,4.0,0.0684,-8.975,0.0,0.033,88.32,4.0,0.237
96,I Love It (& Lil Pump),2693303,0.0114,0.901,127947.0,0.522,0.0,2.0,0.259,-8.304,1.0,0.33,104.053,4.0,0.329
97,Naarmuja (feat. IBE),2676148,0.0301,0.724,202350.0,0.717,0.0,7.0,0.0809,-6.168,0.0,0.0353,122.979,4.0,0.372
98,New Rules,2643983,0.00261,0.763,212000.0,0.72,1.11e-05,9.0,0.114,-5.181,0.0,0.0691,116.01,4.0,0.592
99,Vedän sut henkeen,2617047,0.311,0.595,221194.0,0.731,0.0,1.0,0.0992,-6.165,1.0,0.0652,159.978,4.0,0.535
