,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
81,Photograph,255658845,0.607,0.614,258987,0.379,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201
82,Feel It Still,249631066,0.0417,0.801,163253,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754
83,Bounce Back,246461485,0.105,0.77,222360,0.567,0.0,2,0.125,-5.698,1,0.175,81.477,4,0.26
84,Chained To The Rhythm,242736677,0.0814,0.446,237733,0.8,0.0,0,0.199,-5.404,1,0.174,189.89,4,0.474
85,Butterfly Effect,242159585,0.0531,0.763,190557,0.628,0.0,11,0.114,-5.85,1,0.05,140.958,4,0.193
86,Otra Vez (feat. J Balvin),241254978,0.0559,0.832,209453,0.772,0.000486,10,0.44,-5.429,1,0.1,96.016,4,0.704
87,Back to You (feat. Bebe Rexha & Digital Farm Animals),238047700,0.207,0.683,190428,0.53,0.0,5,0.394,-4.918,0,0.142,75.016,4,0.645
88,Starving,237020441,0.378,0.729,181880,0.615,0.0,4,0.105,-4.238,1,0.0647,99.989,4,0.508
89,"How Far I'll Go - From ""Moana""",235928513,0.173,0.315,175517,0.563,0.000242,9,0.0673,-9.671,1,0.354,179.484,4,0.147
90,Wolves,235382038,0.129,0.72,197993,0.807,0.0,11,0.183,-4.59,0,0.0432,124.946,4,0.305
91,Don't Wanna Know,235249800,0.314,0.601,177267,0.596,0.0,4,0.0978,-4.551,0,0.133,199.989,4,0.736
92,Let You Down,233420700,0.298,0.656,212120,0.721,0.0,5,0.173,-5.665,0,0.122,148.066,4,0.468
93,Bonita,232592776,0.0132,0.775,265747,0.867,0.00684,5,0.278,-1.582,0,0.0414,96.038,4,0.869
94,Happier,231282754,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
95,Thinking Out Loud,230017277,0.474,0.781,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,4,0.591
96,LOVE. FEAT. ZACARI.,229412947,0.264,0.8,213400,0.585,0.0,10,0.153,-7.343,1,0.0924,126.058,4,0.779
97,Body Like A Back Road,229063068,0.463,0.731,165387,0.469,1.04e-06,5,0.103,-7.226,1,0.0326,98.963,4,0.631
98,Malibu,228651444,0.0767,0.573,231907,0.781,2.64e-05,8,0.0813,-6.406,1,0.0555,139.934,4,0.343
99,Don't Let Me Down,227787241,0.191,0.538,195973,0.878,0.0,8,0.112,-3.397,0,0.131,159.686,4,0.387
