,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
74,I Get The Bag (feat. Migos),93475547,0.0232,0.89,233087,0.633,0.000343,11,0.0993,-5.475,1,0.168,139.948,4,0.425
75,It's A Vibe,92022828,0.0348,0.778,131905,0.538,0.788,6,0.0658,-5.134,1,0.0522,90.013,4,0.962
76,Losin Control,91194737,0.515,0.759,237507,0.245,0.000154,6,0.102,-6.545,1,0.138,96.992,4,0.209
77,Jocelyn Flores,90634913,0.469,0.872,119133,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,0.437
78,do re mi,88553337,0.00419,0.742,212027,0.599,1.02e-05,8,0.126,-6.256,1,0.0465,110.977,3,0.154
79,The Way Life Goes (feat. Oh Wonder),87427167,0.617,0.703,221747,0.757,0.0,1,0.106,-3.612,1,0.05,82.008,4,0.696
80,No Role Modelz,86429876,0.302,0.696,292987,0.521,0.0,10,0.0565,-8.465,0,0.332,100.0,4,0.458
81,Gyalchester,86399683,0.0343,0.872,189230,0.389,0.000679,1,0.0941,-8.343,1,0.0634,131.012,4,0.156
82,Castle on the Hill,85892700,0.0232,0.461,261154,0.834,1.14e-05,2,0.14,-4.868,1,0.0989,135.007,4,0.471
83,Rake It Up,85854745,0.022,0.91,276333,0.444,0.0,1,0.137,-8.126,0,0.344,149.953,4,0.53
84,What Lovers Do (feat. SZA),85565479,0.0788,0.799,199849,0.597,5.66e-06,5,0.1,-5.131,0,0.0611,110.001,4,0.419
85,pick up the phone,84865506,0.114,0.711,252256,0.739,0.0,7,0.226,-3.804,0,0.129,136.919,4,0.43
86,Look What You Made Me Do,84079960,0.204,0.766,211853,0.709,1.41e-05,9,0.126,-6.471,0,0.123,128.07,4,0.506
87,Feels,84017875,0.162,0.554,297404,0.596,0.00482,7,0.0805,-8.214,1,0.13,165.728,4,0.255
88,Black Beatles,83817471,0.142,0.794,291893,0.632,0.0,0,0.128,-6.163,1,0.0649,145.926,4,0.355
89,Money Longer,82988005,0.0541,0.795,198944,0.568,0.0,5,0.108,-7.817,0,0.142,136.173,4,0.478
90,ELEMENT.,82627908,0.204,0.748,208733,0.705,0.0,4,0.246,-4.547,0,0.485,189.891,4,0.483
91,No Limit,82079123,0.0117,0.838,245387,0.771,0.0,1,0.0853,-3.791,1,0.244,175.957,4,0.405
92,wokeuplikethis*,80890486,0.0138,0.785,235535,0.62,0.0,8,0.15,-6.668,1,0.254,78.476,4,0.478
93,beibs in the trap,80021678,0.24,0.743,213863,0.571,0.0,7,0.291,-6.054,0,0.145,119.054,4,0.495
94,Rolex,79138254,0.0468,0.876,170480,0.716,0.000482,1,0.0667,-6.884,1,0.135,131.942,4,0.755
95,Plain Jane,78927429,0.0651,0.797,173600,0.844,0.0,11,0.087,-5.482,1,0.275,170.142,4,0.52
96,First Day Out,77179821,0.171,0.587,254694,0.711,0.0,1,0.125,-6.33,1,0.42,98.008,4,0.381
97,I Like Me Better,76697173,0.535,0.752,197437,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,0.419
98,Moves,76563898,0.113,0.598,165106,0.891,0.0,9,0.168,-3.458,0,0.262,202.039,4,0.942
99,24K Magic,76131338,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
